dataset_type,tier,match_id,patch,duration_min,role,champion,win,kills,deaths,assists,kda,player_damage,dpm,total_gold,gpm,cs_total,cspm,teamkills,kp,aggression_index,damage_share,team_damage,rce,vision_score,vspm,wards_placed,wards_killed,vision_efficiency,team_dragons,team_barons,team_towers,gold_diff_10,xp_diff_10,cs_diff_10,lane_pressure_index
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,MIDDLE,Ryze,False,2,5,4,1.2,34070.0,867.657,15597.0,267.7844,349.9995066666666,8.9134,15.0,0.4,1.0,0.259076,131505.81296607945,3.2401327336469192,38.0,0.967741935483871,15.0,6.0,0.534804753820034,,0.0,,130.0,133.0,6.0,89.66666666666667
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,BOTTOM,Corki,False,4,5,6,2.0,36746.0,935.8065,16600.0,293.3277,361.9994,9.219,15.0,0.6666666666666666,1.6666666666666667,0.279425,131505.7707792789,3.19031070028504,33.0,0.8404074702886248,18.0,5.0,0.5857385398981324,,0.0,,211.0,702.0,6.0,306.3333333333333
pro,PRO,LOLTMNT04_135178,15.2,39.266666666666666,UTILITY,Rell,False,2,5,5,1.4,6896.0,175.6197,9286.0,107.0628,34.00100666666667,0.8659,15.0,0.4666666666666667,1.1666666666666667,0.0524387,131505.92978086794,1.6403428641881215,141.0,3.5908319185059425,82.0,12.0,2.3938879456706283,,0.0,,-75.0,-75.0,-1.0,50.333333333333336
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,TOP,Aatrox,True,5,1,9,14.0,15720.0,633.0201,10878.0,304.5503,175.9988,7.0872,21.0,0.6666666666666666,7.0,0.267625,58738.907052779075,2.0785403921782377,22.0,0.8859060402684564,10.0,4.0,0.563758389261745,,0.0,,502.0,264.0,-21.0,262.3333333333333
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,JUNGLE,Wukong,True,11,1,6,17.0,17394.0,700.4295,12746.0,379.7718,166.9992,6.7248,21.0,0.8095238095238095,8.5,0.296124,58738.90667423107,1.8443431028844164,31.0,1.2483221476510067,6.0,9.0,0.6040268456375839,,0.0,,479.0,187.0,0.0,222.0
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,MIDDLE,Galio,True,2,1,7,9.0,8134.0,327.5436,10197.0,277.1275,219.00019999999998,8.8188,21.0,0.42857142857142855,4.5,0.138477,58738.99636762784,1.1819238437181443,19.0,0.7651006711409396,6.0,6.0,0.48322147651006714,,0.0,,-447.0,-89.0,-17.0,184.33333333333334
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,BOTTOM,Corki,True,2,4,6,2.0,13630.0,548.8591,10495.0,289.1275,229.9988833333333,9.2617,21.0,0.38095238095238093,1.6,0.232043,58739.11300922674,1.8983289379253099,27.0,1.087248322147651,9.0,8.0,0.6845637583892618,,0.0,,-205.0,-30.0,4.0,79.66666666666667
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,UTILITY,Alistar,True,1,1,10,11.0,3861.0,155.4765,6588.0,131.7987,23.998933333333333,0.9664,21.0,0.5238095238095238,5.5,0.0657315,58738.960772232494,1.1796512408695987,80.0,3.2214765100671143,49.0,5.0,2.174496644295302,,0.0,,-170.0,8.0,-2.0,60.0
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,TOP,Hwei,False,2,7,3,0.7142857142857143,16541.0,666.0805,8396.0,204.604,192.9997,7.7718,8.0,0.625,0.625,0.306752,53923.038806592944,3.2554617700533712,18.0,0.7248322147651007,10.0,1.0,0.4429530201342282,,0.0,,-502.0,-264.0,21.0,262.3333333333333
pro,PRO,LOLTMNT04_136192,15.2,24.833333333333332,JUNGLE,Vi,False,3,3,3,2.0,9643.0,388.3087,7817.0,181.2886,135.99974999999998,5.4765,8.0,0.75,1.5,0.178829,53923.02143388377,2.1419366689356085,30.0,1.2080536912751678,5.0,7.0,0.48322147651006714,,0.0,,-479.0,-187.0,0.0,222.0
